StockholdersEquityNoteStockSplitConversionRatio1: 0.5
CashAndCashEquivalentsAtCarryingValue: 433,648
CashAndCashEquivalentsAtCarryingValue: 150,341
CashAndSecuritiesSegregatedUnderFederalAndOtherRegulationsCurrent: 27,618
CashAndSecuritiesSegregatedUnderFederalAndOtherRegulationsCurrent: 30,809
RestrictedCashCurrent: 6,005
RestrictedCashCurrent: 6,270
DepositAssetsExcludingParticipantMarginDepositsCurrent: 70,078
DepositAssetsExcludingParticipantMarginDepositsCurrent: 87,744
ParticipantMarginDepositAssetsCurrent: &#8212;
ParticipantMarginDepositAssetsCurrent: 1,234
DerivativeAssetsCurrent: 6,017
DerivativeAssetsCurrent: 33,536
OtherAssetsCurrent: 39,232
OtherAssetsCurrent: 23,303
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent: 40,976
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent: &#8212;
AssetsCurrent: 855,214
AssetsCurrent: 572,816
IntangibleAssetsNetExcludingGoodwill: 170,774
IntangibleAssetsNetExcludingGoodwill: 114,224
DerivativeAssetsNoncurrent: 5,114
DerivativeAssetsNoncurrent: 50,304
OtherAssetsNoncurrent: 63,745
OtherAssetsNoncurrent: 81,727
Assets: 1,259,425
Assets: 973,651
AccountsPayableAndOtherAccruedLiabilitiesCurrent: 69,780
AccountsPayableAndOtherAccruedLiabilitiesCurrent: 120,361
EmployeeRelatedLiabilitiesCurrent: 39,412
EmployeeRelatedLiabilitiesCurrent: 33,523
LongTermDebtCurrent: 1,508
LongTermDebtCurrent: 4,767
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent: 2,758
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent: &#8212;
LiabilitiesCurrent: 337,260
LiabilitiesCurrent: 405,222
LongTermDebtNoncurrent: &#8212;
LongTermDebtNoncurrent: 32,268
DeferredIncomeTaxLiabilitiesNet: 22,386
DeferredIncomeTaxLiabilitiesNet: 10,766
OtherLiabilitiesNoncurrent: 18,762
OtherLiabilitiesNoncurrent: 15,166
Liabilities: 378,408
Liabilities: 606,034
RetainedEarningsAccumulatedDeficit: 632,339
RetainedEarningsAccumulatedDeficit: 562,310
AccumulatedOtherComprehensiveIncomeLossNetOfTax: 641
AccumulatedOtherComprehensiveIncomeLossNetOfTax: &#8212;
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 881,017
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest: 367,617
LiabilitiesAndStockholdersEquity: 1,259,425
LiabilitiesAndStockholdersEquity: 973,651
RevenueFromContractWithCustomerExcludingAssessedTax: 1,189,429
RevenueFromContractWithCustomerExcludingAssessedTax: 1,000,114
RevenueFromContractWithCustomerExcludingAssessedTax: 907,142
RevenueFromContractWithCustomerExcludingAssessedTax: 106,048
RevenueFromContractWithCustomerExcludingAssessedTax: 89,567
RevenueFromContractWithCustomerExcludingAssessedTax: 88,049
RevenueFromContractWithCustomerExcludingAssessedTax: 41,598
RevenueFromContractWithCustomerExcludingAssessedTax: 33,646
RevenueFromContractWithCustomerExcludingAssessedTax: 30,114
RevenueFromContractWithCustomerExcludingAssessedTax: 26,998
RevenueFromContractWithCustomerExcludingAssessedTax: 16,745
RevenueFromContractWithCustomerExcludingAssessedTax: 15,702
RevenueFromContractWithCustomerExcludingAssessedTax: 1,364,073
RevenueFromContractWithCustomerExcludingAssessedTax: 1,140,072
RevenueFromContractWithCustomerExcludingAssessedTax: 1,041,007
EquityRightsProgramExpense: &#8212;
EquityRightsProgramExpense: 1,975
EquityRightsProgramExpense: 4,601
OtherCostOfOperatingRevenue: 5,158
OtherCostOfOperatingRevenue: 4,674
OtherCostOfOperatingRevenue: 2,949
